,Date,Team,name,Notes,year_start,year_end,position,height,weight,birth_date,college,Strains/Sprains,Dislocations,Arm Fractures,Leg Fractures,Injury Type,Estimated Medical Costs (2012)
21,2010-11-03,Jazz,Jeremy Evans,sprained right wrist (DNP),2011,2016,F,9-Jun,200,1987-10-24,Western Kentucky University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
22,2010-11-03,Pistons,Richard Hamilton,sore right foot (DNP),2000,2013,G-F,6-Jun,185,1978-02-14,University of Connecticut,FALSE,FALSE,FALSE,FALSE,No Index,No Index
23,2010-11-03,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,1983-01-04,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
24,2010-11-03,Warriors,Brandan Wright,stomach virus (DTD),2008,2018,F-C,10-Jun,210,1987-10-05,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
25,2010-11-04,Blazers,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",2012,2016,G,5-Jun,190,1989-06-20,University of Memphis,FALSE,TRUE,FALSE,FALSE,Dislocation,4575
26,2010-11-05,Bucks,Andrew Bogut,migraine headache (DNP),2006,2018,C,Jul-00,260,1984-11-28,University of Utah,FALSE,FALSE,FALSE,FALSE,No Index,No Index
27,2010-11-05,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,1986-06-19,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
28,2010-11-05,Jazz,Jeremy Evans,sprained right ankle (DNP),2011,2016,F,9-Jun,200,1987-10-24,Western Kentucky University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
29,2010-11-06,Raptors,Sonny Weems,ankle injury (DTD),2009,2016,G-F,6-Jun,205,1986-07-08,University of Arkansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
30,2010-11-07,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,1986-06-19,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
31,2010-11-08,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,1986-06-19,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
32,2010-11-10,Clippers,Chris Kaman,sprained left ankle (DNP),2004,2016,C,Jul-00,265,1982-04-28,Central Michigan University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
33,2010-11-10,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,1986-06-19,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
34,2010-11-10,Timberwolves,Wayne Ellington,thigh injury (DTD),2010,2018,G,4-Jun,200,1987-10-29,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
35,2010-11-10,Clippers,Eric Gordon,sore left shoulder (DNP),2009,2018,G,4-Jun,215,1988-12-25,Indiana University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
36,2010-11-11,Spurs,James Anderson,stress fracture in right foot (out indefinitely),2011,2016,G-F,6-Jun,213,1989-03-25,Oklahoma State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
37,2010-11-11,Warriors,David Lee,placed on IL with infection in left elbow,1968,1969,F,7-Jun,225,1942-03-31,University of San Francisco,FALSE,FALSE,FALSE,FALSE,No Index,No Index
38,2010-11-11,Warriors,David Lee,placed on IL with infection in left elbow,2006,2017,F,9-Jun,245,1983-04-29,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
39,2010-11-12,Warriors,David Lee,surgery on left elbow to repair infection,1968,1969,F,7-Jun,225,1942-03-31,University of San Francisco,FALSE,FALSE,FALSE,FALSE,No Index,No Index
40,2010-11-12,Warriors,David Lee,surgery on left elbow to repair infection,2006,2017,F,9-Jun,245,1983-04-29,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
41,2010-11-12,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,1983-09-24,Villanova University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
42,2010-11-13,Raptors,Reggie Evans,flu-like symptoms (DNP),2003,2015,F,8-Jun,245,1980-05-18,University of Iowa,FALSE,FALSE,FALSE,FALSE,No Index,No Index
43,2010-11-14,Rockets,Chase Budinger,sprained left ankle (DNP),2010,2016,F,7-Jun,209,1988-05-22,University of Arizona,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
44,2010-11-14,Timberwolves,Wayne Ellington,bruised left thigh (DNP),2010,2018,G,4-Jun,200,1987-10-29,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
45,2010-11-15,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,1983-09-24,Villanova University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
46,2010-11-15,Jazz,Raja Bell,strained left abductor (DNP),2001,2012,G,5-Jun,204,1976-09-19,Florida International University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
47,2010-11-15,Timberwolves,Wayne Ellington,bruised left thigh (DNP),2010,2018,G,4-Jun,200,1987-10-29,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
48,2010-11-16,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,1984-07-23,University of Washington,FALSE,FALSE,FALSE,FALSE,No Index,No Index
49,2010-11-17,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,1983-09-24,Villanova University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
50,2010-11-17,Rockets,Chase Budinger,sprained left ankle (DNP),2010,2016,F,7-Jun,209,1988-05-22,University of Arizona,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
51,2010-11-18,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,1984-07-23,University of Washington,FALSE,FALSE,FALSE,FALSE,No Index,No Index
52,2010-11-18,Magic,Jason Williams,foot injury (DTD),1999,2011,G,1-Jun,190,1975-11-18,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
53,2010-11-19,Blazers,Greg Oden,mircofracture surgery on left knee (out for season),2009,2014,C,Jul-00,250,1988-01-22,Ohio State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
54,2010-11-19,Heat,Juwan Howard,broken nose (DNP),1995,2013,F,9-Jun,240,1973-02-07,University of Michigan,FALSE,FALSE,FALSE,FALSE,No Index,No Index
55,2010-11-19,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,1987-10-05,University of North Carolina,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
56,2010-11-20,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,1984-07-23,University of Washington,FALSE,FALSE,FALSE,FALSE,No Index,No Index
57,2010-11-20,Suns,Steve Nash,strained groin (DNP),1997,2014,G,3-Jun,195,1974-02-07,Santa Clara University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
58,2010-11-22,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,1987-10-05,University of North Carolina,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
59,2010-11-23,Heat,Udonis Haslem,surgery on left foot to repair torn ligament (out for season),2004,2018,F-C,8-Jun,235,1980-06-09,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
60,2010-11-24,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,1984-11-28,University of Utah,FALSE,FALSE,FALSE,FALSE,No Index,No Index
61,2010-11-24,Bulls,Taj Gibson,right ankle/foot injury (DNP),2010,2018,F,9-Jun,225,1985-06-24,University of Southern California,FALSE,FALSE,FALSE,FALSE,No Index,No Index
62,2010-11-24,Celtics,Delonte West,broken right wrist (out indefinitely),2005,2012,G,4-Jun,180,1983-07-26,Saint Joseph's University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
63,2010-11-24,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,1987-10-05,University of North Carolina,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
64,2010-11-26,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,1984-11-28,University of Utah,FALSE,FALSE,FALSE,FALSE,No Index,No Index
65,2010-11-26,Raptors,Reggie Evans,broken right foot (out indefinitely),2003,2015,F,8-Jun,245,1980-05-18,University of Iowa,FALSE,FALSE,FALSE,FALSE,No Index,No Index
66,2010-11-26,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,1987-10-05,University of North Carolina,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
67,2010-11-27,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,1984-11-28,University of Utah,FALSE,FALSE,FALSE,FALSE,No Index,No Index
68,2010-11-27,Bucks,Corey Maggette,sore left ankle (DNP),2000,2013,F,6-Jun,218,1979-11-12,Duke University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
69,2010-11-27,Bucks,Drew Gooden,plantar fasciitis in left foot (DNP),2003,2016,F,10-Jun,250,1981-09-24,University of Kansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
70,2010-11-28,Blazers,Sean Marks,sprained right ankle (DNP),1999,2011,F-C,10-Jun,250,1975-08-23,University of California,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
71,2010-11-28,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,1983-09-24,Villanova University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
72,2010-11-28,Knicks,Toney Douglas,bruised right quadriceps (DNP),2010,2017,G,2-Jun,195,1986-03-16,Florida State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
73,2010-11-28,Lakers,Devin Ebanks,gastroenteritis (DNP),2011,2013,F,9-Jun,215,1989-10-28,West Virginia University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
74,2010-11-28,Raptors,Reggie Evans,broken right foot (DNP),2003,2015,F,8-Jun,245,1980-05-18,University of Iowa,FALSE,FALSE,FALSE,FALSE,No Index,No Index
75,2010-11-29,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,1984-11-28,University of Utah,FALSE,FALSE,FALSE,FALSE,No Index,No Index
76,2010-11-29,Bucks,Corey Maggette,illness (DNP),2000,2013,F,6-Jun,218,1979-11-12,Duke University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
77,2010-11-29,Bucks,Drew Gooden,left foot injury (DNP),2003,2016,F,10-Jun,250,1981-09-24,University of Kansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
78,2010-11-30,Celtics,Delonte West,surgery to repair broken right wrist,2005,2012,G,4-Jun,180,1983-07-26,Saint Joseph's University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
79,2010-12-01,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,1984-11-28,University of Utah,FALSE,FALSE,FALSE,FALSE,No Index,No Index
80,2010-12-02,Hawks,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),2002,2018,G-F,7-Jun,240,1981-06-29,University of Arkansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
81,2010-12-03,Hornets,David West,stomach virus (DNP),2004,2018,F,9-Jun,250,1980-08-29,Xavier University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
82,2010-12-03,Magic,Jameer Nelson,stomach virus (DNP),2005,2018,G,Jun-00,190,1982-02-09,Saint Joseph's University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
83,2010-12-03,Magic,J.J. Redick,stomach virus (DNP),2007,2018,G,4-Jun,190,1984-06-24,Duke University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
84,2010-12-04,Magic,J.J. Redick,stomach virus (DNP),2007,2018,G,4-Jun,190,1984-06-24,Duke University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
85,2010-12-04,Magic,Jameer Nelson,stomach virus (DNP),2005,2018,G,Jun-00,190,1982-02-09,Saint Joseph's University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
86,2010-12-04,Magic,Ryan Anderson,sprained right foot (DNP),2009,2018,F,10-Jun,240,1988-05-06,University of California,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
87,2010-12-04,Timberwolves,Michael Beasley,sprained right ankle (DNP),2009,2018,F,9-Jun,235,1989-01-09,Kansas State University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
88,2010-12-05,Celtics,Rajon Rondo,strained hamstring (DNP),2007,2018,G,1-Jun,186,1986-02-22,University of Kentucky,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
89,2010-12-05,Thunder,D.J. White,sprained right ankle (DTD),2009,2014,F,9-Jun,251,1986-08-31,Indiana University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
90,2010-12-05,Warriors,Rodney Carney,sprained left foot (DTD),2007,2011,F,7-Jun,205,1984-04-15,University of Memphis,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
91,2010-12-06,Magic,Jameer Nelson,stomach flu (DNP),2005,2018,G,Jun-00,190,1982-02-09,Saint Joseph's University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
92,2010-12-06,Bucks,Drew Gooden,patella tendinitis in left foot (DNP),2003,2016,F,10-Jun,250,1981-09-24,University of Kansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
93,2010-12-08,Nuggets,Carmelo Anthony,right knee inflammation (DNP),2004,2018,F,8-Jun,240,1984-05-29,Syracuse University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
94,2010-12-09,Celtics,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP),1993,2011,C,1-Jul,325,1972-03-06,Louisiana State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
95,2010-12-10,Bobcats,Tyrus Thomas,quadriceps injury (DTD),2007,2015,F,9-Jun,215,1986-08-17,Louisiana State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
96,2010-12-10,Jazz,Raja Bell,groin injury (DTD),2001,2012,G,5-Jun,204,1976-09-19,Florida International University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
97,2010-12-10,Warriors,Stephen Curry,sprained right ankle (DTD),2010,2018,G,3-Jun,190,1988-03-14,Davidson College,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
98,2010-12-11,Cavaliers,Ryan Hollins,stomach virus (DTD),2007,2016,C,Jul-00,240,1984-10-10,"University of California, Los Angeles",FALSE,FALSE,FALSE,FALSE,No Index,No Index
99,2010-12-11,Jazz,Raja Bell,strained right abductor (DNP),2001,2012,G,5-Jun,204,1976-09-19,Florida International University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
100,2010-12-11,Nuggets,Carmelo Anthony,right knee patella tendinitis (DNP),2004,2018,F,8-Jun,240,1984-05-29,Syracuse University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
101,2010-12-12,Magic,Chris Duhon,strained lower back (DNP),2005,2013,G,1-Jun,185,1982-08-31,Duke University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
102,2010-12-13,Jazz,Raja Bell,strained right abductor (DNP),2001,2012,G,5-Jun,204,1976-09-19,Florida International University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
103,2010-12-13,Nets,Damion James,surgery to insert screw to repair broken right foot (out indefinitely),2011,2014,G-F,7-Jun,225,1987-10-07,University of Texas at Austin,FALSE,FALSE,FALSE,FALSE,No Index,No Index
104,2010-12-14,Kings,Tyreke Evans,left foot injury (DTD),2010,2018,G-F,6-Jun,220,1989-09-19,University of Memphis,FALSE,FALSE,FALSE,FALSE,No Index,No Index
105,2010-12-14,Magic,Quentin Richardson,sore left elbow (DNP),2001,2013,G,6-Jun,223,1980-04-13,DePaul University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
106,2010-12-14,Nuggets,Chauncey Billups,sprained right wrist (DNP),1998,2014,G,3-Jun,202,1976-09-25,University of Colorado,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
107,2010-12-15,Bucks,John Salmons,back spasms (DNP),2003,2015,G,7-Jun,210,1979-12-12,University of Miami,FALSE,FALSE,FALSE,FALSE,No Index,No Index
108,2010-12-15,Bulls,Joakim Noah,torn ligament in right thumb (out indefinitely),2008,2018,C,11-Jun,230,1985-02-25,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
109,2010-12-15,Celtics,Shaquille O'Neal,sore right calf (DNP),1993,2011,C,1-Jul,325,1972-03-06,Louisiana State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
110,2010-12-16,Bulls,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely),2008,2018,C,11-Jun,230,1985-02-25,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
111,2010-12-16,Celtics,Rajon Rondo,sprained left ankle (DNP),2007,2018,G,1-Jun,186,1986-02-22,University of Kentucky,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
112,2010-12-16,Celtics,Shaquille O'Neal,sore right calf (DNP),1993,2011,C,1-Jul,325,1972-03-06,Louisiana State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
113,2010-12-16,Nets,Anthony Morrow,strained right hamstring (DNP),2009,2017,G,5-Jun,210,1985-09-27,Georgia Institute of Technology,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
114,2010-12-16,Nuggets,Chauncey Billups,torn ligament in right wrist (DNP),1998,2014,G,3-Jun,202,1976-09-25,University of Colorado,FALSE,FALSE,FALSE,FALSE,No Index,No Index
115,2010-12-16,Wizards,John Wallace,right knee tendinitis (DNP),1997,2004,F,8-Jun,225,1974-02-09,Syracuse University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
116,2010-12-17,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,1984-07-23,University of Washington,FALSE,FALSE,FALSE,FALSE,No Index,No Index
117,2010-12-17,Raptors,Sonny Weems,sore lower back (DNP),2009,2016,G-F,6-Jun,205,1986-07-08,University of Arkansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
118,2010-12-18,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,1984-07-23,University of Washington,FALSE,FALSE,FALSE,FALSE,No Index,No Index
119,2010-12-18,Blazers,Marcus Camby,sore right shoulder (DNP),1997,2013,C-F,11-Jun,220,1974-03-22,University of Massachusetts Amherst,FALSE,FALSE,FALSE,FALSE,No Index,No Index
120,2010-12-18,Nuggets,Chauncey Billups,torn ligament in right wrist (DNP),1998,2014,G,3-Jun,202,1976-09-25,University of Colorado,FALSE,FALSE,FALSE,FALSE,No Index,No Index
121,2010-12-18,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,1986-05-04,Indiana University-Purdue University Indianapolis,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
122,2010-12-19,Celtics,Rajon Rondo,sprained left ankle (DNP),2007,2018,G,1-Jun,186,1986-02-22,University of Kentucky,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
123,2010-12-19,Nets,Quinton Ross,bruised lower back (DNP),2005,2011,G,6-Jun,195,1981-04-30,Southern Methodist University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
124,2010-12-19,Pistons,Richard Hamilton,upset stomach (DNP),2000,2013,G-F,6-Jun,185,1978-02-14,University of Connecticut,FALSE,FALSE,FALSE,FALSE,No Index,No Index
125,2010-12-19,Pistons,Rodney Stuckey,sore left big toe (DNP),2008,2017,G,5-Jun,210,1986-04-21,Eastern Washington University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
126,2010-12-19,Raptors,Sonny Weems,back spasms (DNP),2009,2016,G-F,6-Jun,205,1986-07-08,University of Arkansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
127,2010-12-20,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,1984-07-23,University of Washington,FALSE,FALSE,FALSE,FALSE,No Index,No Index
128,2010-12-20,Blazers,Marcus Camby,strained right shoulder (DNP),1997,2013,C-F,11-Jun,220,1974-03-22,University of Massachusetts Amherst,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
129,2010-12-20,Clippers,Craig Smith,back injury (out indefinitely),2007,2012,F,7-Jun,250,1983-11-10,Boston College,FALSE,FALSE,FALSE,FALSE,No Index,No Index
130,2010-12-20,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,1986-05-04,Indiana University-Purdue University Indianapolis,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
131,2010-12-20,Warriors,Dan Gadzuric,strained left groin (DNP),2003,2012,C,11-Jun,240,1978-02-02,"University of California, Los Angeles",TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
132,2010-12-21,Bucks,Drew Gooden,sore left foot (DNP),2003,2016,F,10-Jun,250,1981-09-24,University of Kansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
133,2010-12-21,Magic,Malik Allen,sprained left ankle (DNP),2002,2011,F-C,10-Jun,255,1978-06-27,Villanova University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
134,2010-12-21,Nets,Quinton Ross,bruised lower back (DNP),2005,2011,G,6-Jun,195,1981-04-30,Southern Methodist University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
135,2010-12-21,Warriors,Dan Gadzuric,strained left groin (DNP),2003,2012,C,11-Jun,240,1978-02-02,"University of California, Los Angeles",TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
136,2010-12-22,Celtics,Rajon Rondo,sprained left ankle (DNP),2007,2018,G,1-Jun,186,1986-02-22,University of Kentucky,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
137,2010-12-22,Nets,Quinton Ross,bruised lower back (DNP),2005,2011,G,6-Jun,195,1981-04-30,Southern Methodist University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
138,2010-12-22,Raptors,Jerryd Bayless,food poisoning (DNP),2009,2018,G,3-Jun,200,1988-08-20,University of Arizona,FALSE,FALSE,FALSE,FALSE,No Index,No Index
139,2010-12-22,Raptors,Sonny Weems,back spasms (DNP),2009,2016,G-F,6-Jun,205,1986-07-08,University of Arkansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
140,2010-12-22,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,1986-05-04,Indiana University-Purdue University Indianapolis,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
141,2010-12-23,Bucks,Drew Gooden,sore left foot (DNP),2003,2016,F,10-Jun,250,1981-09-24,University of Kansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
142,2010-12-23,Magic,Daniel Orton,arthroscopic surgery on left knee (out for season),2012,2014,C-F,10-Jun,255,1990-08-06,University of Kentucky,FALSE,FALSE,FALSE,FALSE,No Index,No Index
143,2010-12-23,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,1986-05-04,Indiana University-Purdue University Indianapolis,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
144,2010-12-25,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,1984-07-23,University of Washington,FALSE,FALSE,FALSE,FALSE,No Index,No Index
