,Date,Team,name,Notes,year_start,year_end,position,height,weight,birth_date,college,Strains/Sprains,Dislocations,Arm Fractures,Leg Fractures,Injury Type,Estimated Medical Costs (2012)
32,11/10/2010,Clippers,Chris Kaman,sprained left ankle (DNP),2004,2016,C,Jul-00,265,28-Apr-82,Central Michigan University,1,0,0,0,Strain/Sprain,3175
33,11/10/2010,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,0,0,0,0,No Index,No Index
34,11/10/2010,Timberwolves,Wayne Ellington,thigh injury (DTD),2010,2018,G,4-Jun,200,29-Oct-87,University of North Carolina,0,0,0,0,No Index,No Index
35,11/10/2010,Clippers,Eric Gordon,sore left shoulder (DNP),2009,2018,G,4-Jun,215,25-Dec-88,Indiana University,0,0,0,0,No Index,No Index
36,11/11/2010,Spurs,James Anderson,stress fracture in right foot (out indefinitely),2011,2016,G-F,6-Jun,213,25-Mar-89,Oklahoma State University,0,0,0,0,No Index,No Index
37,11/11/2010,Warriors,David Lee,placed on IL with infection in left elbow,1968,1969,F,7-Jun,225,31-Mar-42,University of San Francisco,0,0,0,0,No Index,No Index
38,11/11/2010,Warriors,David Lee,placed on IL with infection in left elbow,2006,2017,F,9-Jun,245,29-Apr-83,University of Florida,0,0,0,0,No Index,No Index
39,11/12/2010,Warriors,David Lee,surgery on left elbow to repair infection,1968,1969,F,7-Jun,225,31-Mar-42,University of San Francisco,0,0,0,0,No Index,No Index
40,11/12/2010,Warriors,David Lee,surgery on left elbow to repair infection,2006,2017,F,9-Jun,245,29-Apr-83,University of Florida,0,0,0,0,No Index,No Index
41,11/12/2010,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,24-Sep-83,Villanova University,1,0,0,0,Strain/Sprain,3175
42,11/13/2010,Raptors,Reggie Evans,flu-like symptoms (DNP),2003,2015,F,8-Jun,245,18-May-80,University of Iowa,0,0,0,0,No Index,No Index
43,11/14/2010,Rockets,Chase Budinger,sprained left ankle (DNP),2010,2016,F,7-Jun,209,22-May-88,University of Arizona,1,0,0,0,Strain/Sprain,3175
44,11/14/2010,Timberwolves,Wayne Ellington,bruised left thigh (DNP),2010,2018,G,4-Jun,200,29-Oct-87,University of North Carolina,0,0,0,0,No Index,No Index
45,11/15/2010,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,24-Sep-83,Villanova University,1,0,0,0,Strain/Sprain,3175
46,11/15/2010,Jazz,Raja Bell,strained left abductor (DNP),2001,2012,G,5-Jun,204,19-Sep-76,Florida International University,1,0,0,0,Strain/Sprain,3175
47,11/15/2010,Timberwolves,Wayne Ellington,bruised left thigh (DNP),2010,2018,G,4-Jun,200,29-Oct-87,University of North Carolina,0,0,0,0,No Index,No Index
48,11/16/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
49,11/17/2010,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,24-Sep-83,Villanova University,1,0,0,0,Strain/Sprain,3175
50,11/17/2010,Rockets,Chase Budinger,sprained left ankle (DNP),2010,2016,F,7-Jun,209,22-May-88,University of Arizona,1,0,0,0,Strain/Sprain,3175
51,11/18/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
52,11/18/2010,Magic,Jason Williams,foot injury (DTD),1999,2011,G,1-Jun,190,18-Nov-75,University of Florida,0,0,0,0,No Index,No Index
53,11/19/2010,Blazers,Greg Oden,mircofracture surgery on left knee (out for season),2009,2014,C,Jul-00,250,22-Jan-88,Ohio State University,0,0,0,0,No Index,No Index
54,11/19/2010,Heat,Juwan Howard,broken nose (DNP),1995,2013,F,9-Jun,240,7-Feb-73,University of Michigan,0,0,0,0,No Index,No Index
55,11/19/2010,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,5-Oct-87,University of North Carolina,1,0,0,0,Strain/Sprain,3175
56,11/20/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
57,11/20/2010,Suns,Steve Nash,strained groin (DNP),1997,2014,G,3-Jun,195,7-Feb-74,Santa Clara University,1,0,0,0,Strain/Sprain,3175
58,11/22/2010,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,5-Oct-87,University of North Carolina,1,0,0,0,Strain/Sprain,3175
59,11/23/2010,Heat,Udonis Haslem,surgery on left foot to repair torn ligament (out for season),2004,2018,F-C,8-Jun,235,9-Jun-80,University of Florida,0,0,0,0,No Index,No Index
60,11/24/2010,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,28-Nov-84,University of Utah,0,0,0,0,No Index,No Index
61,11/24/2010,Bulls,Taj Gibson,right ankle/foot injury (DNP),2010,2018,F,9-Jun,225,24-Jun-85,University of Southern California,0,0,0,0,No Index,No Index
62,11/24/2010,Celtics,Delonte West,broken right wrist (out indefinitely),2005,2012,G,4-Jun,180,26-Jul-83,Saint Joseph's University,0,0,0,0,No Index,No Index
63,11/24/2010,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,5-Oct-87,University of North Carolina,1,0,0,0,Strain/Sprain,3175
64,11/26/2010,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,28-Nov-84,University of Utah,0,0,0,0,No Index,No Index
65,11/26/2010,Raptors,Reggie Evans,broken right foot (out indefinitely),2003,2015,F,8-Jun,245,18-May-80,University of Iowa,0,0,0,0,No Index,No Index
66,11/26/2010,Warriors,Brandan Wright,strained lower back (DNP),2008,2018,F-C,10-Jun,210,5-Oct-87,University of North Carolina,1,0,0,0,Strain/Sprain,3175
67,11/27/2010,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,28-Nov-84,University of Utah,0,0,0,0,No Index,No Index
68,11/27/2010,Bucks,Corey Maggette,sore left ankle (DNP),2000,2013,F,6-Jun,218,12-Nov-79,Duke University,0,0,0,0,No Index,No Index
69,11/27/2010,Bucks,Drew Gooden,plantar fasciitis in left foot (DNP),2003,2016,F,10-Jun,250,24-Sep-81,University of Kansas,0,0,0,0,No Index,No Index
70,11/28/2010,Blazers,Sean Marks,sprained right ankle (DNP),1999,2011,F-C,10-Jun,250,23-Aug-75,University of California,1,0,0,0,Strain/Sprain,3175
71,11/28/2010,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,24-Sep-83,Villanova University,1,0,0,0,Strain/Sprain,3175
72,11/28/2010,Knicks,Toney Douglas,bruised right quadriceps (DNP),2010,2017,G,2-Jun,195,16-Mar-86,Florida State University,0,0,0,0,No Index,No Index
73,11/28/2010,Lakers,Devin Ebanks,gastroenteritis (DNP),2011,2013,F,9-Jun,215,28-Oct-89,West Virginia University,0,0,0,0,No Index,No Index
74,11/28/2010,Raptors,Reggie Evans,broken right foot (DNP),2003,2015,F,8-Jun,245,18-May-80,University of Iowa,0,0,0,0,No Index,No Index
75,11/29/2010,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,28-Nov-84,University of Utah,0,0,0,0,No Index,No Index
76,11/29/2010,Bucks,Corey Maggette,illness (DNP),2000,2013,F,6-Jun,218,12-Nov-79,Duke University,0,0,0,0,No Index,No Index
77,11/29/2010,Bucks,Drew Gooden,left foot injury (DNP),2003,2016,F,10-Jun,250,24-Sep-81,University of Kansas,0,0,0,0,No Index,No Index
78,11/30/2010,Celtics,Delonte West,surgery to repair broken right wrist,2005,2012,G,4-Jun,180,26-Jul-83,Saint Joseph's University,0,0,0,0,No Index,No Index
79,12/1/2010,Bucks,Andrew Bogut,sore back (DNP),2006,2018,C,Jul-00,260,28-Nov-84,University of Utah,0,0,0,0,No Index,No Index
80,12/2/2010,Hawks,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),2002,2018,G-F,7-Jun,240,29-Jun-81,University of Arkansas,0,0,0,0,No Index,No Index
81,12/3/2010,Hornets,David West,stomach virus (DNP),2004,2018,F,9-Jun,250,29-Aug-80,Xavier University,0,0,0,0,No Index,No Index
82,12/3/2010,Magic,Jameer Nelson,stomach virus (DNP),2005,2018,G,Jun-00,190,9-Feb-82,Saint Joseph's University,0,0,0,0,No Index,No Index
83,12/3/2010,Magic,J.J. Redick,stomach virus (DNP),2007,2018,G,4-Jun,190,24-Jun-84,Duke University,0,0,0,0,No Index,No Index
84,12/4/2010,Magic,J.J. Redick,stomach virus (DNP),2007,2018,G,4-Jun,190,24-Jun-84,Duke University,0,0,0,0,No Index,No Index
85,12/4/2010,Magic,Jameer Nelson,stomach virus (DNP),2005,2018,G,Jun-00,190,9-Feb-82,Saint Joseph's University,0,0,0,0,No Index,No Index
86,12/4/2010,Magic,Ryan Anderson,sprained right foot (DNP),2009,2018,F,10-Jun,240,6-May-88,University of California,1,0,0,0,Strain/Sprain,3175
87,12/4/2010,Timberwolves,Michael Beasley,sprained right ankle (DNP),2009,2018,F,9-Jun,235,9-Jan-89,Kansas State University,1,0,0,0,Strain/Sprain,3175
88,12/5/2010,Celtics,Rajon Rondo,strained hamstring (DNP),2007,2018,G,1-Jun,186,22-Feb-86,University of Kentucky,1,0,0,0,Strain/Sprain,3175
89,12/5/2010,Thunder,D.J. White,sprained right ankle (DTD),2009,2014,F,9-Jun,251,31-Aug-86,Indiana University,1,0,0,0,Strain/Sprain,3175
90,12/5/2010,Warriors,Rodney Carney,sprained left foot (DTD),2007,2011,F,7-Jun,205,15-Apr-84,University of Memphis,1,0,0,0,Strain/Sprain,3175
91,12/6/2010,Magic,Jameer Nelson,stomach flu (DNP),2005,2018,G,Jun-00,190,9-Feb-82,Saint Joseph's University,0,0,0,0,No Index,No Index
92,12/6/2010,Bucks,Drew Gooden,patella tendinitis in left foot (DNP),2003,2016,F,10-Jun,250,24-Sep-81,University of Kansas,0,0,0,0,No Index,No Index
93,12/8/2010,Nuggets,Carmelo Anthony,right knee inflammation (DNP),2004,2018,F,8-Jun,240,29-May-84,Syracuse University,0,0,0,0,No Index,No Index
94,12/9/2010,Celtics,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP),1993,2011,C,1-Jul,325,6-Mar-72,Louisiana State University,0,0,0,0,No Index,No Index
95,12/10/2010,Bobcats,Tyrus Thomas,quadriceps injury (DTD),2007,2015,F,9-Jun,215,17-Aug-86,Louisiana State University,0,0,0,0,No Index,No Index
96,12/10/2010,Jazz,Raja Bell,groin injury (DTD),2001,2012,G,5-Jun,204,19-Sep-76,Florida International University,0,0,0,0,No Index,No Index
97,12/10/2010,Warriors,Stephen Curry,sprained right ankle (DTD),2010,2018,G,3-Jun,190,14-Mar-88,Davidson College,1,0,0,0,Strain/Sprain,3175
98,12/11/2010,Cavaliers,Ryan Hollins,stomach virus (DTD),2007,2016,C,Jul-00,240,10-Oct-84,"University of California, Los Angeles",0,0,0,0,No Index,No Index
99,12/11/2010,Jazz,Raja Bell,strained right abductor (DNP),2001,2012,G,5-Jun,204,19-Sep-76,Florida International University,1,0,0,0,Strain/Sprain,3175
100,12/11/2010,Nuggets,Carmelo Anthony,right knee patella tendinitis (DNP),2004,2018,F,8-Jun,240,29-May-84,Syracuse University,0,0,0,0,No Index,No Index
101,12/12/2010,Magic,Chris Duhon,strained lower back (DNP),2005,2013,G,1-Jun,185,31-Aug-82,Duke University,1,0,0,0,Strain/Sprain,3175
102,12/13/2010,Jazz,Raja Bell,strained right abductor (DNP),2001,2012,G,5-Jun,204,19-Sep-76,Florida International University,1,0,0,0,Strain/Sprain,3175
103,12/13/2010,Nets,Damion James,surgery to insert screw to repair broken right foot (out indefinitely),2011,2014,G-F,7-Jun,225,7-Oct-87,University of Texas at Austin,0,0,0,0,No Index,No Index
104,12/14/2010,Kings,Tyreke Evans,left foot injury (DTD),2010,2018,G-F,6-Jun,220,19-Sep-89,University of Memphis,0,0,0,0,No Index,No Index
105,12/14/2010,Magic,Quentin Richardson,sore left elbow (DNP),2001,2013,G,6-Jun,223,13-Apr-80,DePaul University,0,0,0,0,No Index,No Index
106,12/14/2010,Nuggets,Chauncey Billups,sprained right wrist (DNP),1998,2014,G,3-Jun,202,25-Sep-76,University of Colorado,1,0,0,0,Strain/Sprain,3175
107,12/15/2010,Bucks,John Salmons,back spasms (DNP),2003,2015,G,7-Jun,210,12-Dec-79,University of Miami,0,0,0,0,No Index,No Index
108,12/15/2010,Bulls,Joakim Noah,torn ligament in right thumb (out indefinitely),2008,2018,C,11-Jun,230,25-Feb-85,University of Florida,0,0,0,0,No Index,No Index
109,12/15/2010,Celtics,Shaquille O'Neal,sore right calf (DNP),1993,2011,C,1-Jul,325,6-Mar-72,Louisiana State University,0,0,0,0,No Index,No Index
110,12/16/2010,Bulls,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely),2008,2018,C,11-Jun,230,25-Feb-85,University of Florida,0,0,0,0,No Index,No Index
111,12/16/2010,Celtics,Rajon Rondo,sprained left ankle (DNP),2007,2018,G,1-Jun,186,22-Feb-86,University of Kentucky,1,0,0,0,Strain/Sprain,3175
112,12/16/2010,Celtics,Shaquille O'Neal,sore right calf (DNP),1993,2011,C,1-Jul,325,6-Mar-72,Louisiana State University,0,0,0,0,No Index,No Index
113,12/16/2010,Nets,Anthony Morrow,strained right hamstring (DNP),2009,2017,G,5-Jun,210,27-Sep-85,Georgia Institute of Technology,1,0,0,0,Strain/Sprain,3175
114,12/16/2010,Nuggets,Chauncey Billups,torn ligament in right wrist (DNP),1998,2014,G,3-Jun,202,25-Sep-76,University of Colorado,0,0,0,0,No Index,No Index
115,12/16/2010,Wizards,John Wallace,right knee tendinitis (DNP),1997,2004,F,8-Jun,225,9-Feb-74,Syracuse University,0,0,0,0,No Index,No Index
116,12/17/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
117,12/17/2010,Raptors,Sonny Weems,sore lower back (DNP),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,0,0,0,0,No Index,No Index
118,12/18/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
119,12/18/2010,Blazers,Marcus Camby,sore right shoulder (DNP),1997,2013,C-F,11-Jun,220,22-Mar-74,University of Massachusetts Amherst,0,0,0,0,No Index,No Index
120,12/18/2010,Nuggets,Chauncey Billups,torn ligament in right wrist (DNP),1998,2014,G,3-Jun,202,25-Sep-76,University of Colorado,0,0,0,0,No Index,No Index
121,12/18/2010,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,4-May-86,Indiana University-Purdue University Indianapolis,1,0,0,0,Strain/Sprain,3175
122,12/19/2010,Celtics,Rajon Rondo,sprained left ankle (DNP),2007,2018,G,1-Jun,186,22-Feb-86,University of Kentucky,1,0,0,0,Strain/Sprain,3175
123,12/19/2010,Nets,Quinton Ross,bruised lower back (DNP),2005,2011,G,6-Jun,195,30-Apr-81,Southern Methodist University,0,0,0,0,No Index,No Index
124,12/19/2010,Pistons,Richard Hamilton,upset stomach (DNP),2000,2013,G-F,6-Jun,185,14-Feb-78,University of Connecticut,0,0,0,0,No Index,No Index
125,12/19/2010,Pistons,Rodney Stuckey,sore left big toe (DNP),2008,2017,G,5-Jun,210,21-Apr-86,Eastern Washington University,0,0,0,0,No Index,No Index
126,12/19/2010,Raptors,Sonny Weems,back spasms (DNP),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,0,0,0,0,No Index,No Index
127,12/20/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
128,12/20/2010,Blazers,Marcus Camby,strained right shoulder (DNP),1997,2013,C-F,11-Jun,220,22-Mar-74,University of Massachusetts Amherst,1,0,0,0,Strain/Sprain,3175
129,12/20/2010,Clippers,Craig Smith,back injury (out indefinitely),2007,2012,F,7-Jun,250,10-Nov-83,Boston College,0,0,0,0,No Index,No Index
130,12/20/2010,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,4-May-86,Indiana University-Purdue University Indianapolis,1,0,0,0,Strain/Sprain,3175
131,12/20/2010,Warriors,Dan Gadzuric,strained left groin (DNP),2003,2012,C,11-Jun,240,2-Feb-78,"University of California, Los Angeles",1,0,0,0,Strain/Sprain,3175
132,12/21/2010,Bucks,Drew Gooden,sore left foot (DNP),2003,2016,F,10-Jun,250,24-Sep-81,University of Kansas,0,0,0,0,No Index,No Index
133,12/21/2010,Magic,Malik Allen,sprained left ankle (DNP),2002,2011,F-C,10-Jun,255,27-Jun-78,Villanova University,1,0,0,0,Strain/Sprain,3175
134,12/21/2010,Nets,Quinton Ross,bruised lower back (DNP),2005,2011,G,6-Jun,195,30-Apr-81,Southern Methodist University,0,0,0,0,No Index,No Index
135,12/21/2010,Warriors,Dan Gadzuric,strained left groin (DNP),2003,2012,C,11-Jun,240,2-Feb-78,"University of California, Los Angeles",1,0,0,0,Strain/Sprain,3175
136,12/22/2010,Celtics,Rajon Rondo,sprained left ankle (DNP),2007,2018,G,1-Jun,186,22-Feb-86,University of Kentucky,1,0,0,0,Strain/Sprain,3175
137,12/22/2010,Nets,Quinton Ross,bruised lower back (DNP),2005,2011,G,6-Jun,195,30-Apr-81,Southern Methodist University,0,0,0,0,No Index,No Index
138,12/22/2010,Raptors,Jerryd Bayless,food poisoning (DNP),2009,2018,G,3-Jun,200,20-Aug-88,University of Arizona,0,0,0,0,No Index,No Index
139,12/22/2010,Raptors,Sonny Weems,back spasms (DNP),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,0,0,0,0,No Index,No Index
140,12/22/2010,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,4-May-86,Indiana University-Purdue University Indianapolis,1,0,0,0,Strain/Sprain,3175
141,12/23/2010,Bucks,Drew Gooden,sore left foot (DNP),2003,2016,F,10-Jun,250,24-Sep-81,University of Kansas,0,0,0,0,No Index,No Index
142,12/23/2010,Magic,Daniel Orton,arthroscopic surgery on left knee (out for season),2012,2014,C-F,10-Jun,255,6-Aug-90,University of Kentucky,0,0,0,0,No Index,No Index
143,12/23/2010,Spurs,George Hill,sprained right big toe (DNP),2009,2018,G,3-Jun,188,4-May-86,Indiana University-Purdue University Indianapolis,1,0,0,0,Strain/Sprain,3175
144,12/25/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
145,12/25/2010,Magic,Jason Williams,sore left foot (DNP),1999,2011,G,1-Jun,190,18-Nov-75,University of Florida,0,0,0,0,No Index,No Index
146,12/27/2010,76ers,Andre Iguodala,right Achilles tendinitis (DNP),2005,2018,G-F,6-Jun,215,28-Jan-84,University of Arizona,0,0,0,0,No Index,No Index
147,12/27/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
148,12/27/2010,Bucks,Drew Gooden,sore left foot (DNP),2003,2016,F,10-Jun,250,24-Sep-81,University of Kansas,0,0,0,0,No Index,No Index
149,12/27/2010,Magic,Jason Williams,sore left foot (DNP),1999,2011,G,1-Jun,190,18-Nov-75,University of Florida,0,0,0,0,No Index,No Index
150,12/27/2010,Raptors,Sonny Weems,back spasms (DNP),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,0,0,0,0,No Index,No Index
151,12/28/2010,Blazers,Brandon Roy,sore left knee (DNP),2007,2013,G,6-Jun,215,23-Jul-84,University of Washington,0,0,0,0,No Index,No Index
152,12/28/2010,Blazers,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP),1997,2013,C-F,11-Jun,220,22-Mar-74,University of Massachusetts Amherst,1,0,0,0,Strain/Sprain,3175
153,12/28/2010,Bucks,Drew Gooden,plantar fasciitis in left foot (DNP),2003,2016,F,10-Jun,250,24-Sep-81,University of Kansas,0,0,0,0,No Index,No Index
154,12/28/2010,Magic,Jason Williams,sore left foot (DNP),1999,2011,G,1-Jun,190,18-Nov-75,University of Florida,0,0,0,0,No Index,No Index
155,12/28/2010,Magic,Quentin Richardson,flu-like symptoms (DNP),2001,2013,G,6-Jun,223,13-Apr-80,DePaul University,0,0,0,0,No Index,No Index
156,12/28/2010,Raptors,Sonny Weems,back spasms (DNP),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,0,0,0,0,No Index,No Index
157,12/29/2010,Cavaliers,Mo Williams,strained left hip flexor (DNP),2004,2016,G,1-Jun,198,19-Dec-82,University of Alabama,1,0,0,0,Strain/Sprain,3175
158,12/29/2010,Nuggets,Kenyon Martin,sore left knee (DNP),2001,2015,F,9-Jun,234,30-Dec-77,University of Cincinnati,0,0,0,0,No Index,No Index
159,12/30/2010,Magic,Jason Williams,sore left foot (DNP),1999,2011,G,1-Jun,190,18-Nov-75,University of Florida,0,0,0,0,No Index,No Index
160,12/30/2010,Magic,Quentin Richardson,flu-like symptoms (DNP),2001,2013,G,6-Jun,223,13-Apr-80,DePaul University,0,0,0,0,No Index,No Index
161,12/30/2010,Rockets,Chuck Hayes,sprained right ankle (out indefinitely),2006,2016,F-C,6-Jun,240,11-Jun-83,University of Kentucky,1,0,0,0,Strain/Sprain,3175
162,12/31/2010,Hawks,Marvin Williams,bruised back (DTD),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,0,0,0,0,No Index,No Index
163,12/31/2010,Nets,Jordan Farmar,bone bruise in right knee (DNP),2007,2017,G,2-Jun,180,30-Nov-86,"University of California, Los Angeles",0,0,0,0,No Index,No Index
164,12/31/2010,Raptors,Sonny Weems,back spasms (DNP),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,0,0,0,0,No Index,No Index
